,step,vertical_idx,horizontal_idx
0,5,0,3
1,10,1,2
2,13,4,2
3,14,4,2
4,16,1,2
5,17,3,1
6,17,3,2
7,26,3,2
8,27,4,4
9,34,2,4
10,36,3,4
11,38,1,4
12,38,2,2
13,44,4,2
14,45,4,4
15,46,1,4
16,47,1,2
17,47,4,0
18,51,4,4
19,53,0,4
20,58,3,0
21,65,1,4
22,66,0,2
23,67,4,4
24,71,0,2
25,74,3,4
26,81,3,1
27,82,0,4
28,84,4,4
29,86,1,4
30,87,0,4
31,88,2,4
32,97,3,4
33,103,0,0
34,104,0,4
35,106,2,2
36,107,0,0
37,112,4,4
38,128,0,4
39,128,3,2
40,138,0,4
41,148,4,4
42,149,4,4
43,155,1,2
44,165,2,4
45,171,3,1
46,185,0,0
47,185,0,4
48,197,4,4
