,step,vertical_idx,horizontal_idx
0,20,0,0
1,25,4,4
2,31,2,4
3,35,2,2
4,38,0,2
5,39,1,4
6,42,3,4
7,44,0,2
8,56,4,4
9,59,1,4
10,64,1,4
11,67,3,2
12,77,1,4
13,78,4,4
14,80,1,4
15,80,4,4
16,85,4,1
17,86,0,4
18,87,1,4
19,91,1,4
20,100,1,0
21,104,0,4
22,110,3,1
23,112,1,4
24,115,1,4
25,116,4,2
26,119,1,4
27,119,2,2
28,121,4,1
29,128,1,2
30,137,3,4
31,139,3,4
32,141,3,4
33,141,4,2
34,145,2,2
35,145,2,4
36,145,4,1
37,153,2,4
38,158,4,2
39,165,0,2
40,165,0,4
41,167,4,2
42,168,4,0
43,168,4,2
44,170,0,0
45,184,0,0
46,190,3,0
47,192,0,2
48,195,2,4
49,198,4,4
