,step,vertical_idx,horizontal_idx
0,3,2,3
1,5,1,2
2,9,0,4
3,11,2,1
4,13,2,2
5,17,4,4
6,22,3,3
7,25,2,4
8,30,4,2
9,41,3,2
10,45,3,0
11,47,1,4
12,48,1,4
13,52,4,2
14,59,4,1
15,65,3,0
16,69,4,1
17,74,3,4
18,76,0,2
19,76,0,4
20,80,0,1
21,81,1,3
22,82,4,2
23,82,4,4
24,83,3,0
25,88,1,1
26,90,1,1
27,97,1,2
28,97,2,2
29,112,2,3
30,119,4,3
31,126,1,2
32,128,0,1
33,130,3,0
34,138,2,1
35,139,1,2
36,146,1,4
37,153,4,4
38,154,4,1
39,159,3,4
40,160,3,2
41,167,0,3
42,172,0,1
43,173,2,2
44,175,1,4
45,181,3,0
46,183,2,4
47,184,3,4
48,190,4,2
49,191,4,4
