,step,vertical_idx,horizontal_idx
0,7,3,3
1,7,3,4
2,10,0,3
3,15,2,2
4,17,3,4
5,19,3,1
6,24,0,4
7,26,1,4
8,31,4,1
9,34,1,3
10,40,1,1
11,47,0,4
12,48,2,4
13,48,3,3
14,49,1,1
15,54,0,0
16,58,1,3
17,65,3,4
18,66,0,4
19,79,2,3
20,80,3,3
21,85,4,4
22,87,4,4
23,90,2,4
24,93,4,1
25,94,1,1
26,95,3,4
27,102,3,2
28,103,0,4
29,104,0,3
30,115,2,3
31,123,3,1
32,126,0,2
33,126,3,4
34,127,2,2
35,135,2,4
36,141,4,3
37,143,2,1
38,144,1,0
39,146,4,3
40,146,4,4
41,148,0,2
42,148,2,4
43,155,2,2
44,157,3,4
45,161,4,4
46,162,2,4
47,166,1,2
48,171,3,4
49,174,4,3
50,175,2,4
51,178,1,4
52,188,3,2
53,196,3,2
