,step,vertical_idx,horizontal_idx
0,17,1,2
1,18,4,1
2,21,0,2
3,21,4,2
4,22,2,2
5,25,0,3
6,26,0,3
7,27,3,2
8,28,2,1
9,32,4,3
10,33,1,3
11,40,0,0
12,43,3,2
13,44,4,2
14,46,3,3
15,50,3,4
16,51,3,2
17,56,0,1
18,60,4,3
19,61,0,1
20,61,1,2
21,64,4,2
22,65,4,4
23,67,0,4
24,67,3,1
25,73,0,2
26,79,2,4
27,79,4,3
28,85,0,4
29,86,2,3
30,86,3,1
31,90,3,2
32,91,4,4
33,102,2,1
34,106,1,4
35,110,1,4
36,119,4,4
37,123,0,4
38,126,3,1
39,127,2,2
40,138,1,2
41,140,1,2
42,143,4,2
43,146,2,3
44,149,2,3
45,152,1,1
46,154,1,3
47,161,3,3
48,162,0,4
49,163,4,3
50,168,3,3
51,168,3,4
52,169,3,2
53,170,0,4
54,171,2,3
55,180,0,4
56,185,0,3
57,185,3,2
58,188,0,4
59,190,3,2
60,193,1,0
61,196,1,4
62,200,3,3
