,step,vertical_idx,horizontal_idx
0,1,0,3
1,1,2,3
2,2,0,0
3,11,0,4
4,23,1,4
5,32,3,4
6,37,1,3
7,42,0,2
8,44,0,4
9,54,4,2
10,56,2,3
11,57,4,3
12,66,2,2
13,71,4,4
14,77,2,1
15,78,0,3
16,78,2,2
17,80,0,2
18,81,3,3
19,84,0,4
20,85,3,1
21,90,2,2
22,91,2,4
23,95,3,3
24,97,4,2
25,99,2,4
26,103,3,4
27,104,0,2
28,110,4,3
29,111,2,2
30,115,0,2
31,115,2,4
32,124,1,2
33,128,3,4
34,134,3,4
35,135,0,2
36,135,0,4
37,140,3,3
38,145,1,3
39,145,2,2
40,161,0,4
41,163,1,2
42,164,4,4
43,167,2,2
44,174,4,4
45,175,2,3
46,179,2,4
47,194,2,4
