,step,vertical_idx,horizontal_idx
0,1,3,3
1,3,2,4
2,9,0,3
3,13,0,3
4,13,2,2
5,16,4,0
6,17,1,4
7,22,2,4
8,23,2,3
9,25,1,3
10,25,1,4
11,27,1,1
12,27,4,4
13,39,4,4
14,52,3,2
15,56,0,3
16,57,1,4
17,58,3,3
18,61,4,4
19,66,1,3
20,76,3,3
21,77,4,1
22,77,4,2
23,81,1,3
24,81,4,4
25,85,1,4
26,89,0,2
27,91,2,3
28,100,1,4
29,104,4,3
30,108,3,3
31,113,4,4
32,119,2,4
33,121,2,1
34,133,2,2
35,137,2,4
36,140,3,4
37,141,0,1
38,152,0,0
39,156,4,4
40,157,1,4
41,169,1,3
42,171,4,4
43,178,0,3
44,187,4,2
45,191,3,3
46,198,3,3
47,198,4,2
