,step,vertical_idx,horizontal_idx
0,1,3,3
1,6,1,2
2,6,1,4
3,10,1,1
4,10,2,4
5,10,4,3
6,19,2,4
7,21,4,1
8,22,0,4
9,28,1,2
10,29,1,4
11,32,2,3
12,45,4,3
13,52,2,4
14,54,0,3
15,55,0,2
16,58,1,4
17,59,0,2
18,59,1,3
19,60,3,2
20,63,2,4
21,65,2,2
22,86,4,3
23,97,3,2
24,101,1,4
25,109,4,2
26,111,4,2
27,113,1,4
28,117,4,3
29,121,4,3
30,123,3,3
31,125,4,4
32,127,0,3
33,128,1,3
34,130,2,2
35,134,1,4
36,134,4,4
37,145,1,4
38,154,0,0
39,166,3,3
40,177,1,2
41,183,0,2
42,187,2,2
43,187,2,4
44,192,2,4
45,194,4,4
46,197,2,2
