,step,vertical_idx,horizontal_idx
0,1,0,4
1,2,4,4
2,8,2,3
3,13,0,3
4,15,4,4
5,18,0,1
6,20,1,3
7,20,4,4
8,22,2,4
9,23,3,1
10,27,2,3
11,31,2,4
12,32,4,3
13,34,3,3
14,40,2,3
15,40,3,4
16,43,0,3
17,43,1,3
18,46,0,4
19,48,3,4
20,48,4,1
21,49,0,3
22,69,0,3
23,70,2,3
24,73,1,3
25,79,0,2
26,84,4,1
27,92,3,4
28,94,0,1
29,106,4,3
30,108,1,4
31,114,4,4
32,120,4,4
33,128,4,3
34,132,4,2
35,132,4,3
36,138,0,4
37,157,4,4
38,158,1,4
39,158,4,3
40,167,0,4
41,168,4,2
42,174,4,3
43,177,4,2
44,178,3,1
45,194,3,2
46,197,0,1
47,197,2,1
48,200,2,2
