,step,vertical_idx,horizontal_idx
0,13,1,4
1,14,2,1
2,37,1,1
3,47,1,0
4,47,1,4
5,50,1,2
6,50,2,3
7,52,4,4
8,57,1,1
9,57,4,4
10,58,0,2
11,64,2,2
12,64,4,3
13,67,0,4
14,72,4,3
15,74,4,0
16,79,1,3
17,83,2,2
18,92,2,2
19,92,4,2
20,92,4,3
21,94,1,1
22,103,4,2
23,104,0,3
24,109,4,4
25,114,4,4
26,118,4,4
27,122,1,4
28,124,0,1
29,125,4,2
30,130,0,2
31,130,1,4
32,130,2,1
33,144,1,0
34,144,2,2
35,144,4,4
36,146,3,0
37,148,0,3
38,166,0,4
39,167,0,3
40,176,0,4
41,176,2,4
42,189,3,0
43,193,4,2
44,194,4,4
45,195,1,4
