,step,vertical_idx,horizontal_idx
0,3,2,1
1,8,2,3
2,12,3,0
3,15,2,2
4,21,2,4
5,25,4,0
6,29,2,4
7,30,1,4
8,39,4,2
9,42,3,4
10,55,2,3
11,58,3,3
12,58,4,4
13,59,3,4
14,60,1,2
15,65,4,1
16,69,4,2
17,80,3,4
18,85,2,4
19,88,0,3
20,88,3,2
21,90,0,3
22,105,1,4
23,105,2,2
24,105,4,4
25,107,4,3
26,113,2,4
27,114,4,4
28,115,4,0
29,116,0,3
30,123,0,4
31,128,2,4
32,131,0,4
33,135,0,3
34,135,4,2
35,138,2,2
36,143,3,4
37,149,2,3
38,152,1,0
39,157,1,1
40,161,2,4
41,164,4,4
42,173,3,2
43,174,1,4
44,179,4,3
45,194,2,4
