,step,vertical_idx,horizontal_idx
0,4,0,0
1,6,1,3
2,12,1,0
3,20,1,3
4,22,3,2
5,22,4,1
6,22,4,2
7,29,1,1
8,35,1,2
9,41,1,2
10,46,2,1
11,54,0,4
12,54,3,4
13,59,2,1
14,61,4,4
15,65,4,4
16,87,0,4
17,90,1,3
18,93,4,3
19,95,1,3
20,95,3,3
21,104,2,4
22,105,4,2
23,107,1,1
24,107,3,4
25,107,4,3
26,121,2,1
27,122,3,2
28,124,3,4
29,126,4,4
30,134,1,2
31,135,0,4
32,136,4,3
33,149,0,3
34,152,0,2
35,154,3,4
36,155,4,3
37,156,4,3
38,164,2,4
39,166,3,0
40,170,2,3
41,171,1,2
42,172,1,4
43,174,1,3
44,180,3,4
45,184,3,0
46,193,4,2
47,195,2,1
48,196,2,3
