,step,vertical_idx,horizontal_idx
0,4,4,2
1,7,1,1
2,10,3,4
3,16,4,2
4,28,0,4
5,31,2,1
6,31,3,2
7,32,1,3
8,34,4,0
9,41,2,4
10,43,0,4
11,44,0,0
12,53,1,1
13,67,2,4
14,83,2,3
15,86,2,1
16,86,3,2
17,86,4,2
18,90,0,2
19,91,1,4
20,94,1,2
21,95,2,3
22,110,1,1
23,115,1,2
24,120,2,1
25,125,1,2
26,130,3,4
27,133,1,3
28,135,3,4
29,140,2,4
30,142,1,4
31,151,2,1
32,154,2,2
33,156,0,4
34,158,3,1
35,161,2,1
36,162,2,4
37,163,3,4
38,181,2,3
39,184,4,0
40,185,0,3
41,185,1,3
42,192,0,1
43,196,1,3
44,196,1,4
45,197,3,3
46,198,2,2
