,step,vertical_idx,horizontal_idx
0,2,3,4
1,3,0,4
2,14,2,1
3,15,3,1
4,17,3,4
5,30,4,3
6,33,4,1
7,34,1,4
8,38,0,2
9,42,1,3
10,46,0,4
11,50,0,1
12,53,3,3
13,55,3,3
14,58,4,3
15,59,4,2
16,62,1,1
17,64,4,4
18,65,0,4
19,66,0,2
20,70,3,4
21,73,3,3
22,82,4,2
23,87,0,3
24,96,1,3
25,97,0,4
26,99,1,4
27,101,0,3
28,103,2,1
29,105,2,3
30,106,1,4
31,112,0,1
32,114,3,2
33,115,1,2
34,116,3,4
35,133,0,2
36,136,4,3
37,138,2,2
38,141,4,4
39,142,3,3
40,143,4,4
41,149,4,4
42,150,3,2
43,156,3,2
44,158,0,2
45,158,0,3
46,159,2,4
47,159,3,4
48,159,4,3
49,161,4,0
50,162,3,4
51,163,0,1
52,163,0,2
53,168,1,3
54,175,4,4
55,184,2,3
56,186,2,4
57,187,1,4
58,193,4,4
59,195,0,4
60,195,4,3
61,198,0,4
