,step,vertical_idx,horizontal_idx
0,4,4,4
1,8,1,4
2,14,4,1
3,14,4,3
4,35,4,2
5,42,1,3
6,44,0,3
7,45,1,4
8,50,2,4
9,52,3,4
10,53,1,3
11,65,1,3
12,65,2,1
13,71,3,4
14,73,0,2
15,73,1,3
16,87,2,3
17,88,4,3
18,92,4,2
19,93,3,4
20,95,0,4
21,96,1,3
22,98,2,4
23,100,2,4
24,108,0,4
25,110,1,2
26,111,1,4
27,116,1,2
28,118,3,2
29,121,2,1
30,125,2,2
31,125,4,4
32,134,3,3
33,135,1,4
34,136,0,4
35,141,0,4
36,145,2,3
37,152,3,3
38,152,3,4
39,153,0,4
40,160,0,4
41,169,1,3
42,174,4,0
43,176,1,3
44,178,0,2
45,182,2,1
46,183,4,3
47,184,1,3
48,188,2,4
49,196,0,1
50,200,2,2
