,step,vertical_idx,horizontal_idx
0,7,0,3
1,10,0,1
2,14,1,4
3,15,0,2
4,16,4,4
5,17,1,4
6,21,4,3
7,24,0,4
8,24,2,3
9,33,2,2
10,37,3,4
11,43,3,4
12,49,2,4
13,49,3,4
14,56,3,3
15,63,0,4
16,65,1,0
17,66,3,2
18,67,2,4
19,67,4,3
20,71,1,3
21,76,3,1
22,79,4,1
23,81,0,2
24,85,0,3
25,86,2,1
26,89,0,0
27,90,0,1
28,91,0,4
29,99,0,4
30,104,3,2
31,108,3,4
32,111,1,2
33,111,2,2
34,113,0,3
35,125,4,4
36,139,3,4
37,139,4,2
38,146,3,3
39,147,3,3
40,149,2,4
41,151,1,3
42,157,3,1
43,159,0,1
44,159,0,3
45,160,2,3
46,165,1,3
47,167,4,2
48,171,4,2
49,172,3,4
50,172,4,2
51,172,4,4
52,182,0,1
53,182,1,3
54,184,0,4
55,191,1,3
56,192,3,3
57,194,3,4
