,step,vertical_idx,horizontal_idx
0,5,4,1
1,13,0,3
2,14,1,1
3,15,3,4
4,18,2,3
5,25,3,1
6,43,3,4
7,44,2,4
8,46,3,3
9,52,0,4
10,53,0,4
11,59,4,2
12,60,2,2
13,63,1,3
14,72,4,4
15,76,3,4
16,77,4,0
17,78,3,3
18,78,4,3
19,80,4,2
20,85,2,4
21,86,2,3
22,88,3,4
23,103,4,1
24,112,0,1
25,122,3,2
26,130,4,4
27,132,0,2
28,135,4,4
29,144,3,4
30,145,3,4
31,152,2,4
32,155,3,2
33,157,4,3
34,158,3,2
35,162,2,4
36,163,3,2
37,164,1,1
38,167,4,4
39,169,4,1
40,170,1,4
41,173,2,3
42,175,1,3
43,176,2,1
44,180,2,2
45,181,4,2
46,190,1,1
47,192,2,3
48,194,3,3
49,198,1,3
