,step,vertical_idx,horizontal_idx
0,1,4,2
1,2,1,4
2,3,0,2
3,4,2,1
4,23,0,0
5,24,4,4
6,25,2,3
7,32,2,3
8,33,0,2
9,35,4,1
10,38,1,1
11,41,1,1
12,42,1,0
13,45,0,4
14,48,3,2
15,50,2,2
16,51,1,4
17,52,2,1
18,61,0,4
19,67,1,4
20,68,3,1
21,71,4,2
22,74,3,3
23,76,2,3
24,77,0,4
25,77,4,3
26,81,1,4
27,82,0,4
28,87,4,3
29,89,2,4
30,93,2,3
31,93,4,4
32,97,2,3
33,117,0,2
34,118,4,4
35,122,1,4
36,125,1,4
37,131,2,4
38,132,4,4
39,134,2,2
40,136,4,4
41,137,0,2
42,140,3,3
43,140,3,4
44,143,0,4
45,146,0,1
46,154,1,4
47,154,2,1
48,163,0,3
49,177,0,4
50,186,2,2
51,191,4,1
52,193,1,3
53,194,1,2
54,195,2,4
