,step,vertical_idx,horizontal_idx
0,4,1,3
1,7,3,4
2,11,2,3
3,22,3,3
4,25,3,4
5,32,4,4
6,33,2,2
7,34,2,4
8,35,1,4
9,42,4,3
10,45,2,4
11,46,4,4
12,47,0,3
13,49,4,3
14,55,0,1
15,55,4,2
16,57,1,3
17,58,1,4
18,59,2,3
19,68,0,1
20,70,0,3
21,70,3,2
22,78,0,3
23,78,1,0
24,78,3,2
25,81,1,4
26,93,0,1
27,99,2,1
28,104,0,1
29,111,1,2
30,112,1,3
31,114,2,4
32,116,1,2
33,117,0,3
34,122,0,2
35,125,4,2
36,130,1,3
37,142,2,3
38,148,2,4
39,150,2,1
40,151,2,1
41,153,0,1
42,155,3,2
43,169,1,2
44,171,1,3
45,173,1,1
46,178,2,4
47,179,1,4
48,181,1,1
49,182,2,2
50,182,3,3
51,183,3,4
52,185,1,3
53,185,4,3
54,187,1,4
55,188,1,1
56,188,3,4
57,189,2,2
58,193,2,2
59,193,4,3
60,197,0,3
