,step,vertical_idx,horizontal_idx
0,1,1,4
1,5,4,4
2,6,2,4
3,7,0,0
4,8,2,2
5,12,3,2
6,14,0,4
7,18,2,3
8,19,2,3
9,20,0,4
10,24,0,2
11,31,4,4
12,34,0,4
13,38,1,1
14,39,3,4
15,40,4,0
16,42,1,4
17,42,2,4
18,45,1,2
19,46,2,1
20,48,1,2
21,52,2,2
22,53,2,3
23,62,1,2
24,73,1,3
25,74,3,3
26,76,1,2
27,84,2,4
28,85,3,2
29,85,4,2
30,89,0,3
31,89,1,3
32,98,2,2
33,109,3,4
34,120,1,3
35,123,1,2
36,125,0,3
37,127,2,1
38,129,1,2
39,131,4,1
40,132,2,1
41,135,4,2
42,142,3,4
43,149,1,2
44,152,2,4
45,155,0,3
46,156,4,2
47,157,2,4
48,165,0,4
49,176,0,4
50,176,3,4
51,179,3,3
52,183,2,4
53,184,2,3
54,186,4,2
55,187,0,2
56,191,1,1
57,192,4,3
58,193,2,4
59,194,3,4
60,195,1,2
61,197,4,1
62,200,4,3
