,step,vertical_idx,horizontal_idx
0,2,3,3
1,4,2,2
2,10,0,2
3,18,4,0
4,19,2,2
5,24,2,2
6,25,1,1
7,25,3,0
8,32,0,2
9,32,1,4
10,35,2,3
11,37,3,2
12,39,4,4
13,42,1,0
14,45,3,4
15,45,4,3
16,48,4,3
17,53,4,3
18,56,4,4
19,58,2,2
20,59,3,3
21,66,0,0
22,78,3,1
23,80,0,2
24,86,3,4
25,89,3,3
26,96,4,0
27,97,0,4
28,98,2,3
29,109,1,4
30,113,0,3
31,113,2,2
32,115,4,0
33,124,2,2
34,129,0,3
35,135,1,3
36,135,3,1
37,135,4,4
38,139,1,3
39,140,0,3
40,142,1,4
41,146,1,1
42,161,1,4
43,162,3,4
44,163,4,1
45,165,2,3
46,166,3,3
47,169,2,3
48,177,4,4
49,178,4,4
50,182,4,4
51,185,0,2
52,189,2,2
53,190,1,1
54,199,2,4
55,200,2,3
