,step,vertical_idx,horizontal_idx
0,3,3,4
1,5,4,3
2,8,4,2
3,25,2,4
4,28,1,2
5,29,0,1
6,32,2,3
7,34,0,2
8,45,1,4
9,51,0,4
10,51,3,3
11,51,3,4
12,53,1,2
13,55,2,2
14,57,4,1
15,67,0,4
16,70,2,4
17,70,3,4
18,74,4,3
19,79,3,3
20,87,0,2
21,87,4,4
22,94,0,1
23,100,1,4
24,101,4,1
25,107,3,2
26,109,2,3
27,111,2,2
28,112,4,2
29,116,2,2
30,119,2,4
31,121,4,0
32,122,3,3
33,129,0,3
34,132,0,3
35,132,3,4
36,140,1,0
37,143,4,4
38,145,2,4
39,146,4,0
40,154,0,0
41,159,3,3
42,165,0,3
43,168,3,1
44,180,1,4
45,181,4,3
46,191,2,1
47,192,0,3
48,195,3,4
49,198,2,1
