,step,vertical_idx,horizontal_idx
0,4,1,2
1,7,2,4
2,16,0,4
3,17,4,4
4,18,0,4
5,20,3,3
6,22,2,4
7,24,3,4
8,25,3,0
9,26,0,4
10,29,0,3
11,31,0,1
12,35,4,4
13,37,1,4
14,46,3,4
15,49,3,1
16,50,4,4
17,53,1,4
18,55,4,4
19,56,2,3
20,57,1,2
21,72,0,3
22,76,1,2
23,78,3,1
24,79,0,3
25,79,2,2
26,79,4,4
27,92,3,3
28,94,3,2
29,95,3,4
30,96,1,3
31,97,2,2
32,103,3,2
33,103,4,0
34,105,0,4
35,105,1,2
36,105,4,1
37,106,0,4
38,108,1,2
39,110,1,3
40,121,2,4
41,129,2,3
42,129,2,4
43,141,1,4
44,141,4,4
45,142,1,3
46,144,4,4
47,145,0,4
48,147,4,1
49,149,3,0
50,166,0,3
51,170,3,4
52,172,2,4
53,191,1,4
54,197,2,4
55,200,4,3
