,step,vertical_idx,horizontal_idx
0,1,2,3
1,8,0,1
2,10,2,4
3,13,2,2
4,15,3,3
5,20,2,2
6,20,4,4
7,32,1,3
8,46,0,3
9,53,2,4
10,54,1,3
11,54,2,4
12,59,0,4
13,60,0,2
14,62,2,4
15,71,2,4
16,73,3,4
17,76,1,2
18,91,2,2
19,92,2,2
20,93,3,1
21,97,2,3
22,102,4,1
23,105,3,3
24,105,3,4
25,116,4,2
26,118,1,4
27,123,0,3
28,126,0,3
29,128,3,3
30,129,0,4
31,134,1,2
32,134,3,3
33,137,3,0
34,142,4,1
35,142,4,3
36,145,0,2
37,146,0,4
38,146,4,2
39,150,0,2
40,152,2,3
41,154,3,3
42,160,1,4
43,163,3,0
44,169,1,3
45,170,3,4
46,178,0,2
47,182,4,1
48,188,3,3
49,190,2,4
50,192,1,1
51,196,2,1
52,200,2,4
