,step,vertical_idx,horizontal_idx
0,2,2,2
1,9,1,3
2,11,2,4
3,25,0,4
4,25,4,1
5,31,3,0
6,38,0,4
7,45,0,3
8,45,3,2
9,49,3,2
10,50,1,3
11,61,4,4
12,65,1,1
13,70,0,1
14,73,2,4
15,74,1,2
16,74,4,4
17,76,1,3
18,78,1,2
19,84,3,3
20,90,3,3
21,91,0,1
22,96,1,2
23,98,2,2
24,103,3,3
25,103,4,3
26,104,0,4
27,104,3,2
28,109,4,4
29,119,0,4
30,129,2,3
31,138,2,3
32,141,1,3
33,143,0,4
34,151,1,2
35,156,0,0
36,157,4,2
37,161,2,4
38,167,0,4
39,168,2,2
40,174,2,4
41,179,3,4
42,184,2,3
43,191,0,3
44,196,1,3
45,197,1,4
