,step,vertical_idx,horizontal_idx
0,3,4,2
1,11,0,2
2,16,3,3
3,27,1,1
4,30,4,4
5,31,2,2
6,35,3,4
7,42,0,3
8,42,2,4
9,42,3,4
10,44,3,2
11,46,3,3
12,51,1,4
13,51,2,2
14,52,0,3
15,56,4,3
16,62,4,0
17,74,1,3
18,74,2,2
19,78,3,2
20,93,1,3
21,96,3,1
22,97,0,1
23,99,3,4
24,106,4,2
25,110,1,3
26,119,1,4
27,124,4,1
28,127,0,1
29,130,2,1
30,130,4,3
31,131,2,2
32,135,0,0
33,138,2,2
34,140,1,4
35,140,2,3
36,144,0,1
37,146,0,4
38,146,4,1
39,160,0,4
40,169,2,4
41,171,0,2
42,173,2,4
43,179,3,2
44,185,4,4
45,186,0,0
46,190,3,4
47,192,0,4
48,192,1,4
