,step,vertical_idx,horizontal_idx
0,1,2,2
1,4,4,1
2,31,4,4
3,34,2,4
4,35,1,1
5,39,4,4
6,40,4,3
7,41,1,0
8,41,2,1
9,41,4,3
10,42,0,2
11,43,2,3
12,47,4,2
13,49,3,1
14,50,1,2
15,51,3,3
16,52,2,2
17,54,4,2
18,56,4,0
19,70,3,0
20,70,4,3
21,83,2,1
22,85,4,0
23,85,4,2
24,87,1,2
25,90,1,1
26,93,1,4
27,98,3,1
28,104,2,4
29,106,4,2
30,113,4,3
31,117,1,3
32,121,2,2
33,123,0,2
34,123,0,4
35,128,3,0
36,130,3,2
37,133,1,2
38,142,2,2
39,144,0,2
40,144,1,3
41,149,0,4
42,151,3,4
43,152,1,2
44,153,0,4
45,153,3,3
46,156,1,2
47,156,3,2
48,159,0,3
49,159,3,2
50,159,4,1
51,160,4,3
52,162,0,0
53,166,4,4
54,167,3,3
55,175,2,1
56,177,2,1
57,186,0,4
58,187,1,1
59,189,3,3
60,197,2,3
