,step,vertical_idx,horizontal_idx
0,2,0,3
1,10,2,2
2,10,3,3
3,19,3,2
4,22,1,4
5,24,3,2
6,32,3,3
7,33,4,3
8,43,4,4
9,45,2,2
10,45,2,4
11,48,3,0
12,50,4,1
13,56,0,3
14,56,2,3
15,56,2,4
16,72,3,1
17,83,3,2
18,92,4,1
19,95,3,4
20,102,3,4
21,104,0,1
22,107,0,4
23,107,1,4
24,109,2,3
25,117,0,2
26,120,2,4
27,120,3,3
28,123,1,4
29,123,3,4
30,126,3,0
31,128,1,4
32,131,0,1
33,131,1,2
34,136,3,1
35,137,2,1
36,151,1,2
37,167,0,4
38,168,3,4
39,169,0,0
40,173,2,1
41,173,4,0
42,173,4,2
43,174,4,1
44,177,1,4
45,184,2,1
46,194,3,4
47,198,1,4
48,198,2,2
