,step,vertical_idx,horizontal_idx
0,3,4,4
1,5,3,4
2,10,3,4
3,14,0,3
4,15,0,1
5,18,0,2
6,23,0,2
7,24,4,2
8,33,4,2
9,37,2,3
10,39,2,3
11,41,0,2
12,45,0,3
13,50,4,3
14,51,4,1
15,53,0,1
16,54,3,1
17,55,4,3
18,60,1,3
19,62,0,4
20,62,1,2
21,69,0,4
22,70,0,4
23,75,0,2
24,75,0,4
25,75,3,2
26,83,4,3
27,90,0,2
28,91,4,4
29,93,3,1
30,111,1,3
31,116,3,2
32,130,0,0
33,131,3,4
34,134,0,3
35,136,2,4
36,137,4,3
37,142,3,1
38,150,0,0
39,161,1,3
40,163,4,2
41,165,1,4
42,165,2,2
43,173,2,4
44,174,1,1
45,176,0,4
46,176,3,2
47,182,2,2
48,183,0,1
49,185,1,1
50,185,2,3
51,195,0,3
