,step,vertical_idx,horizontal_idx
0,5,1,2
1,15,4,0
2,18,3,0
3,19,3,3
4,37,2,3
5,37,4,4
6,38,3,2
7,39,4,4
8,42,3,1
9,47,2,2
10,47,4,3
11,48,0,3
12,48,3,3
13,50,2,4
14,53,1,2
15,53,2,1
16,65,2,4
17,68,1,1
18,73,3,4
19,76,1,4
20,85,0,3
21,92,3,1
22,93,3,1
23,95,0,4
24,96,3,1
25,98,3,4
26,99,1,2
27,99,2,3
28,99,4,4
29,106,2,4
30,112,4,4
31,113,4,2
32,120,4,4
33,127,0,4
34,129,2,4
35,131,1,2
36,137,1,3
37,140,1,2
38,141,0,1
39,143,1,3
40,155,4,1
41,161,3,0
42,161,4,4
43,165,2,4
44,166,2,4
45,172,0,3
46,172,3,3
47,177,0,3
48,177,2,1
49,186,2,2
50,187,2,4
51,189,2,3
52,199,0,4
53,200,0,2
