,step,vertical_idx,horizontal_idx
0,5,2,3
1,5,3,3
2,9,0,1
3,10,4,4
4,12,4,2
5,16,4,2
6,26,4,2
7,30,1,1
8,30,1,3
9,32,1,4
10,48,2,1
11,50,4,3
12,54,3,0
13,58,0,4
14,71,2,2
15,72,3,4
16,75,3,3
17,76,1,3
18,76,3,4
19,77,1,3
20,77,4,1
21,82,3,4
22,91,3,3
23,99,4,2
24,100,4,4
25,104,3,4
26,105,1,3
27,105,2,3
28,111,4,1
29,112,0,4
30,112,3,2
31,129,1,4
32,131,1,4
33,134,0,3
34,139,1,0
35,141,0,4
36,142,4,0
37,143,3,4
38,144,3,4
39,150,1,0
40,151,4,3
41,159,3,4
42,176,3,4
43,183,0,2
44,188,4,4
45,192,3,4
