,step,vertical_idx,horizontal_idx
0,2,3,4
1,6,3,1
2,11,4,4
3,20,2,2
4,24,0,4
5,32,0,3
6,34,4,0
7,35,0,1
8,47,4,2
9,48,2,3
10,49,3,4
11,56,2,4
12,57,4,1
13,58,1,4
14,60,4,2
15,66,4,2
16,71,1,2
17,72,0,2
18,73,1,4
19,74,3,4
20,77,4,3
21,87,0,2
22,88,3,3
23,94,4,3
24,96,2,3
25,100,0,3
26,104,3,1
27,111,2,4
28,121,2,4
29,123,2,2
30,126,0,4
31,127,1,4
32,147,3,3
33,147,3,4
34,149,0,1
35,159,0,4
36,160,2,1
37,160,2,4
38,161,3,4
39,174,0,2
40,175,3,2
41,176,4,3
42,180,3,1
43,182,0,2
44,184,1,1
45,188,1,0
46,199,4,3
