,step,vertical_idx,horizontal_idx
0,10,0,4
1,10,4,3
2,11,1,2
3,12,0,0
4,22,1,4
5,25,1,4
6,27,0,3
7,30,2,4
8,32,2,4
9,37,2,4
10,44,2,4
11,53,1,0
12,54,0,3
13,59,4,1
14,64,0,4
15,64,3,1
16,66,4,0
17,67,1,4
18,71,2,4
19,72,1,4
20,78,3,3
21,81,0,2
22,91,4,0
23,92,0,2
24,101,1,3
25,104,4,0
26,106,3,3
27,107,1,4
28,110,3,1
29,119,3,2
30,121,4,4
31,122,1,3
32,126,1,1
33,130,3,2
34,132,0,4
35,133,2,3
36,145,1,1
37,152,1,0
38,155,4,1
39,155,4,4
40,166,4,4
41,170,3,3
42,176,4,2
43,186,2,4
44,188,4,3
45,191,1,4
46,192,4,2
47,194,0,4
48,196,2,2
