,step,vertical_idx,horizontal_idx
0,4,1,0
1,5,4,4
2,10,0,3
3,10,4,2
4,14,2,4
5,16,3,3
6,17,4,4
7,22,3,1
8,23,4,3
9,24,2,4
10,28,0,2
11,30,2,4
12,37,4,3
13,37,4,4
14,39,2,4
15,39,3,4
16,39,4,2
17,42,4,2
18,44,1,2
19,44,2,2
20,53,2,1
21,58,0,2
22,59,1,1
23,59,4,4
24,64,3,3
25,65,3,4
26,69,1,1
27,70,0,1
28,75,2,4
29,76,3,3
30,81,2,3
31,82,0,1
32,83,1,4
33,85,2,3
34,90,1,3
35,96,2,3
36,97,4,1
37,102,3,2
38,104,1,2
39,104,3,4
40,105,1,2
41,107,1,4
42,107,2,1
43,116,3,2
44,116,4,3
45,119,4,3
46,120,3,1
47,126,1,2
48,134,3,2
49,135,1,2
50,136,3,4
51,139,0,2
52,143,0,2
53,146,3,2
54,152,4,4
55,154,4,4
56,164,4,2
57,165,4,2
58,174,1,3
59,176,0,4
60,177,1,4
61,178,0,1
62,179,4,3
63,181,0,1
64,187,0,4
65,195,2,4
66,195,3,1
67,195,4,3
68,197,3,2
