,step,vertical_idx,horizontal_idx
0,4,0,4
1,7,3,3
2,7,4,1
3,8,3,0
4,8,4,2
5,15,1,4
6,16,0,2
7,26,1,1
8,27,4,3
9,28,4,2
10,31,1,3
11,32,0,3
12,32,1,3
13,33,0,1
14,33,2,2
15,34,1,0
16,34,3,1
17,35,3,4
18,38,4,4
19,39,1,2
20,50,3,0
21,53,3,2
22,54,4,3
23,60,4,2
24,69,1,4
25,75,1,2
26,78,1,4
27,81,2,1
28,98,0,3
29,100,4,1
30,102,0,4
31,107,1,3
32,109,4,1
33,117,4,0
34,121,2,4
35,125,0,1
36,125,3,4
37,126,2,3
38,127,4,2
39,130,3,0
40,136,1,3
41,140,1,2
42,141,3,3
43,144,2,2
44,150,2,2
45,165,4,0
46,173,0,2
47,175,1,0
48,176,2,3
49,178,4,1
50,185,2,2
51,188,2,1
52,189,0,4
53,194,4,3
54,195,2,4
55,198,1,4
56,199,4,4
57,200,0,3
