,step,vertical_idx,horizontal_idx
0,8,0,0
1,12,1,4
2,22,0,3
3,25,3,1
4,26,1,1
5,32,3,4
6,38,0,3
7,47,1,4
8,48,3,2
9,52,0,4
10,63,4,3
11,73,2,2
12,77,3,4
13,86,3,3
14,88,4,0
15,90,0,1
16,97,3,3
17,98,3,0
18,99,0,0
19,99,1,4
20,101,4,4
21,103,3,4
22,104,2,3
23,117,2,4
24,119,0,4
25,122,0,4
26,122,2,4
27,124,1,2
28,125,2,3
29,130,4,3
30,132,4,3
31,138,4,3
32,141,2,4
33,141,4,3
34,142,2,1
35,153,1,4
36,154,1,3
37,155,2,4
38,155,4,1
39,161,4,4
40,164,3,2
41,168,0,3
42,171,4,4
43,175,0,3
44,175,1,2
45,182,4,4
46,188,4,4
47,198,0,4
48,198,4,4
49,199,2,4
