,step,vertical_idx,horizontal_idx
0,3,2,2
1,10,4,0
2,11,4,3
3,12,3,2
4,16,4,4
5,17,1,1
6,17,2,1
7,17,4,2
8,22,1,4
9,25,4,1
10,28,2,4
11,30,0,4
12,37,0,4
13,47,1,4
14,51,3,3
15,58,0,3
16,60,2,4
17,71,0,0
18,76,3,3
19,77,1,4
20,78,0,1
21,84,1,1
22,88,3,4
23,92,0,0
24,99,3,3
25,107,2,1
26,119,3,4
27,128,0,2
28,129,1,1
29,137,4,4
30,139,1,3
31,140,0,4
32,140,1,4
33,141,4,4
34,142,1,4
35,149,0,2
36,149,3,4
37,150,0,2
38,156,1,4
39,157,0,4
40,157,3,1
41,157,4,4
42,165,2,2
43,172,1,2
44,172,4,1
45,172,4,4
46,176,1,4
47,177,2,4
48,179,2,4
49,180,0,1
50,197,1,3
51,197,3,2
