,step,vertical_idx,horizontal_idx
0,5,4,4
1,10,3,2
2,16,0,3
3,17,4,1
4,19,2,2
5,20,1,1
6,25,1,1
7,29,3,4
8,33,3,2
9,35,3,4
10,36,4,3
11,42,0,4
12,43,2,3
13,46,1,4
14,46,2,2
15,47,1,3
16,50,4,4
17,53,4,1
18,55,0,3
19,65,1,1
20,84,1,3
21,87,3,4
22,87,4,1
23,88,1,2
24,88,1,3
25,89,2,2
26,95,4,3
27,98,1,3
28,104,4,4
29,106,2,4
30,110,2,2
31,111,0,0
32,114,1,3
33,116,0,0
34,116,4,4
35,117,4,0
36,120,3,2
37,122,3,2
38,123,2,4
39,135,4,3
40,140,1,3
41,142,0,3
42,143,1,3
43,145,0,4
44,151,3,2
45,152,3,0
46,164,2,1
47,165,2,3
48,171,3,3
49,174,4,4
50,178,0,3
51,178,3,2
52,183,0,3
53,189,1,4
54,191,1,1
55,197,1,2
