,step,vertical_idx,horizontal_idx
0,9,4,3
1,11,2,3
2,12,0,3
3,13,4,3
4,15,1,2
5,21,4,3
6,24,2,4
7,32,2,2
8,40,2,4
9,42,3,3
10,49,2,4
11,52,1,3
12,53,2,4
13,56,0,4
14,58,3,1
15,62,4,2
16,65,0,3
17,65,3,2
18,66,0,1
19,70,4,3
20,73,3,0
21,85,3,4
22,87,2,3
23,91,1,1
24,94,1,4
25,94,2,3
26,100,1,4
27,103,3,4
28,112,3,3
29,113,3,4
30,114,3,4
31,116,0,1
32,116,2,4
33,117,0,3
34,126,3,4
35,133,3,2
36,133,4,4
37,136,3,4
38,136,4,2
39,137,4,3
40,156,1,2
41,158,4,2
42,165,1,3
43,171,1,1
44,179,2,4
45,182,4,4
46,184,3,1
47,185,1,1
48,186,1,3
49,193,4,3
