,step,vertical_idx,horizontal_idx
0,3,0,3
1,3,2,1
2,6,2,4
3,8,4,2
4,13,1,2
5,16,2,4
6,17,3,4
7,22,2,2
8,27,0,3
9,30,4,4
10,31,2,4
11,34,3,4
12,50,1,0
13,59,4,4
14,60,0,2
15,63,1,4
16,66,3,4
17,68,0,3
18,68,2,3
19,77,1,2
20,81,1,4
21,82,3,3
22,87,4,4
23,95,0,4
24,98,4,2
25,100,2,2
26,105,4,4
27,114,2,2
28,117,3,3
29,118,1,2
30,123,0,2
31,124,0,2
32,128,2,2
33,129,4,3
34,137,0,2
35,142,3,4
36,144,3,2
37,146,3,4
38,153,4,4
39,158,0,0
40,158,4,3
41,169,4,2
42,170,0,2
43,172,0,3
44,175,4,2
45,183,1,4
46,188,1,0
47,193,1,4
