,step,vertical_idx,horizontal_idx
0,4,0,3
1,9,2,4
2,14,2,3
3,18,3,3
4,30,0,1
5,38,0,4
6,39,2,4
7,53,1,4
8,57,0,4
9,58,0,2
10,62,1,2
11,65,4,4
12,67,1,0
13,67,1,4
14,68,1,2
15,72,4,0
16,74,4,1
17,82,1,3
18,82,4,4
19,83,2,4
20,84,2,4
21,87,3,3
22,99,1,2
23,102,0,2
24,104,2,1
25,107,2,3
26,118,0,1
27,120,4,4
28,121,2,2
29,125,1,4
30,126,4,1
31,138,4,1
32,140,4,2
33,141,3,4
34,146,2,3
35,147,3,4
36,161,0,3
37,166,4,2
38,169,2,4
39,170,4,3
40,173,3,0
41,175,4,1
42,183,1,1
43,187,3,0
44,193,0,3
45,197,2,2
