,step,vertical_idx,horizontal_idx
0,1,3,4
1,3,1,1
2,4,3,3
3,6,2,4
4,12,4,1
5,16,4,3
6,18,2,4
7,26,4,4
8,37,2,3
9,44,0,3
10,45,2,1
11,45,3,4
12,46,3,1
13,49,1,3
14,49,2,1
15,51,3,4
16,51,4,2
17,69,2,1
18,73,4,4
19,74,4,4
20,76,1,2
21,77,3,1
22,79,0,0
23,86,1,4
24,90,4,4
25,97,0,4
26,97,1,4
27,98,4,4
28,107,4,4
29,109,3,2
30,115,0,4
31,118,4,4
32,119,3,1
33,122,3,4
34,122,4,2
35,131,2,4
36,136,4,1
37,142,3,4
38,146,3,4
39,152,4,1
40,154,4,2
41,155,4,2
42,163,0,2
43,173,2,2
44,177,2,4
45,177,3,4
46,177,4,2
47,183,4,4
48,184,0,2
49,190,3,4
50,193,3,2
51,196,2,2
