,step,vertical_idx,horizontal_idx
0,2,0,4
1,3,3,0
2,8,3,4
3,10,1,2
4,10,1,4
5,13,2,3
6,13,3,3
7,28,3,0
8,34,4,1
9,42,0,4
10,47,0,2
11,61,0,3
12,61,2,2
13,73,4,0
14,76,2,3
15,78,3,3
16,80,4,1
17,81,0,4
18,86,2,2
19,90,0,3
20,93,2,1
21,101,1,2
22,109,1,4
23,116,1,4
24,118,2,4
25,121,2,3
26,131,0,4
27,141,3,2
28,143,3,4
29,148,2,2
30,150,0,4
31,154,3,2
32,155,4,4
33,157,3,3
34,157,4,3
35,160,2,4
36,165,2,4
37,173,1,4
38,174,0,0
39,177,0,4
40,177,3,4
41,177,4,3
42,181,2,4
43,182,4,4
44,189,3,3
45,198,3,3
