,step,vertical_idx,horizontal_idx
0,7,4,0
1,7,4,3
2,12,4,4
3,16,2,2
4,17,3,1
5,21,3,3
6,22,4,3
7,22,4,4
8,26,2,3
9,27,3,3
10,31,0,4
11,33,0,4
12,39,1,1
13,41,3,4
14,46,0,3
15,46,3,1
16,46,3,3
17,51,3,3
18,54,2,3
19,54,4,2
20,55,2,4
21,59,0,4
22,64,1,4
23,65,0,4
24,66,3,4
25,70,4,3
26,71,3,3
27,72,0,1
28,75,0,4
29,77,0,3
30,77,4,1
31,80,3,4
32,83,1,4
33,100,3,0
34,101,3,1
35,109,3,3
36,113,3,4
37,120,0,4
38,122,2,2
39,124,4,1
40,127,4,3
41,132,2,2
42,139,1,4
43,140,0,0
44,141,0,2
45,141,4,3
46,141,4,4
47,145,0,2
48,146,3,4
49,148,0,1
50,153,1,0
51,158,1,3
52,166,2,3
53,168,1,4
54,173,2,3
55,174,2,2
56,176,1,4
57,177,0,1
58,183,0,2
59,184,1,0
60,193,0,2
61,196,2,2
62,198,0,1
63,199,0,1
64,200,4,4
