,step,vertical_idx,horizontal_idx
0,1,3,3
1,5,4,2
2,7,3,4
3,15,3,4
4,20,2,2
5,23,2,4
6,25,2,4
7,31,0,3
8,35,1,2
9,36,4,4
10,43,1,4
11,46,2,1
12,53,2,3
13,55,1,3
14,59,3,2
15,64,4,3
16,65,3,1
17,66,1,3
18,66,3,2
19,83,1,2
20,86,0,4
21,88,3,4
22,90,1,2
23,91,1,1
24,98,4,1
25,100,2,4
26,114,2,3
27,122,3,1
28,123,0,3
29,124,1,3
30,125,0,4
31,128,1,4
32,133,4,3
33,137,0,3
34,141,1,3
35,148,4,2
36,149,3,1
37,150,1,2
38,151,4,4
39,157,3,1
40,162,0,0
41,171,4,2
42,175,0,3
43,175,1,3
44,176,3,3
45,177,0,3
46,178,3,1
47,179,4,4
48,192,4,4
49,197,3,3
