,step,vertical_idx,horizontal_idx
0,13,0,2
1,19,1,4
2,24,2,4
3,32,0,3
4,32,1,3
5,34,3,4
6,36,2,2
7,37,1,3
8,38,4,4
9,45,1,4
10,49,1,4
11,52,0,4
12,57,3,4
13,65,2,3
14,67,2,3
15,72,3,4
16,74,0,1
17,77,0,1
18,78,2,4
19,90,0,0
20,94,0,3
21,95,2,4
22,103,4,2
23,105,0,2
24,107,2,3
25,113,0,0
26,117,2,1
27,118,1,4
28,126,0,2
29,130,3,4
30,138,4,0
31,139,1,3
32,140,2,4
33,141,1,0
34,147,2,4
35,148,1,3
36,150,4,1
37,151,2,2
38,153,1,2
39,159,4,3
40,163,1,0
41,164,0,4
42,171,1,4
43,175,0,3
44,175,2,2
45,178,4,4
46,179,2,3
47,179,3,2
48,186,0,1
49,186,0,4
50,194,4,1
51,197,0,4
