,step,vertical_idx,horizontal_idx
0,2,4,4
1,5,0,1
2,5,0,4
3,7,4,3
4,10,3,3
5,20,0,2
6,30,4,4
7,42,0,2
8,42,2,1
9,43,1,4
10,44,3,4
11,45,3,3
12,52,0,3
13,58,0,3
14,63,0,2
15,66,3,3
16,68,0,4
17,74,4,0
18,75,0,3
19,84,4,4
20,85,3,2
21,87,2,2
22,89,2,4
23,99,0,0
24,104,0,1
25,110,3,2
26,122,4,1
27,125,2,3
28,137,0,2
29,137,2,4
30,139,1,3
31,147,2,2
32,151,2,4
33,152,0,4
34,153,1,3
35,156,2,4
36,161,1,3
37,170,3,3
38,174,0,3
39,175,4,3
40,179,1,4
41,186,0,2
42,186,2,1
43,188,2,4
44,192,0,0
45,193,0,4
46,193,4,4
47,194,2,2
48,198,1,4
49,200,3,4
