,step,vertical_idx,horizontal_idx
0,3,3,3
1,5,0,3
2,10,4,0
3,12,4,0
4,15,4,3
5,17,1,3
6,18,4,4
7,25,1,4
8,29,1,2
9,42,2,2
10,46,0,1
11,51,3,1
12,53,1,4
13,69,3,2
14,77,4,3
15,79,1,4
16,83,1,2
17,85,4,3
18,87,2,2
19,87,2,4
20,89,3,4
21,91,3,2
22,93,1,1
23,96,0,1
24,98,0,3
25,108,1,1
26,130,2,2
27,131,1,4
28,131,2,2
29,136,4,3
30,141,1,4
31,144,1,1
32,147,3,4
33,149,1,0
34,152,2,2
35,159,0,4
36,162,0,3
37,165,4,3
38,167,4,4
39,169,3,4
40,170,1,4
41,171,4,3
42,173,3,0
43,174,2,3
44,174,3,3
45,184,1,1
46,185,1,3
47,187,4,4
48,188,4,1
49,194,4,4
50,198,1,3
