,step,vertical_idx,horizontal_idx
0,1,2,4
1,4,2,1
2,4,4,2
3,14,0,2
4,25,1,4
5,25,2,4
6,27,3,1
7,39,4,4
8,41,3,1
9,48,2,1
10,49,4,4
11,52,1,4
12,57,3,4
13,61,3,1
14,62,3,2
15,68,2,4
16,69,3,3
17,71,4,1
18,80,2,3
19,81,0,0
20,90,1,4
21,97,4,4
22,100,1,4
23,102,1,4
24,102,3,3
25,110,0,3
26,112,0,4
27,115,4,4
28,124,1,4
29,130,3,4
30,130,4,0
31,131,2,1
32,134,4,1
33,134,4,2
34,136,1,4
35,137,0,1
36,138,1,3
37,139,0,1
38,140,2,3
39,152,1,0
40,155,0,4
41,158,2,3
42,158,4,4
43,164,3,2
44,165,1,3
45,172,4,2
46,175,4,3
47,181,4,4
48,182,3,4
49,185,2,4
50,189,2,4
51,196,0,4
