,step,vertical_idx,horizontal_idx
0,1,4,4
1,13,2,4
2,16,1,2
3,22,1,1
4,23,1,1
5,31,0,2
6,34,2,3
7,36,1,0
8,39,0,4
9,49,1,2
10,62,1,3
11,65,3,0
12,68,0,3
13,69,2,4
14,70,2,4
15,73,3,3
16,81,4,3
17,98,4,4
18,101,0,2
19,101,3,4
20,103,1,4
21,103,2,2
22,103,4,2
23,108,0,0
24,112,3,2
25,115,4,2
26,117,0,1
27,118,2,3
28,124,2,2
29,137,2,4
30,143,1,4
31,143,4,1
32,144,1,2
33,144,4,4
34,145,3,4
35,146,0,1
36,156,2,4
37,157,4,3
38,160,0,4
39,160,3,3
40,160,4,4
41,161,1,4
42,165,0,3
43,169,1,3
44,170,4,3
45,173,4,4
46,176,2,4
47,180,2,4
48,189,4,0
49,193,0,0
50,196,3,3
51,197,4,3
52,198,2,3
