,step,vertical_idx,horizontal_idx
0,7,0,4
1,7,1,4
2,11,4,3
3,12,0,2
4,17,1,1
5,17,1,2
6,19,3,1
7,32,4,4
8,34,1,4
9,40,1,3
10,46,0,3
11,46,4,1
12,47,2,2
13,48,4,3
14,52,3,0
15,62,4,4
16,63,0,3
17,64,0,2
18,66,0,4
19,67,4,3
20,68,3,4
21,82,3,3
22,86,2,4
23,90,4,2
24,91,3,4
25,93,1,4
26,93,3,3
27,116,1,1
28,126,0,4
29,133,1,4
30,134,2,4
31,136,4,4
32,137,2,2
33,140,4,2
34,144,2,3
35,159,0,3
36,160,0,2
37,163,3,3
38,165,0,4
39,167,4,1
40,176,0,3
41,179,4,4
42,180,2,3
43,181,4,3
44,182,1,3
45,183,3,3
46,190,1,4
47,192,3,2
48,198,4,4
