,step,vertical_idx,horizontal_idx
0,1,3,4
1,2,3,3
2,5,4,4
3,7,2,2
4,8,4,3
5,9,1,1
6,11,4,4
7,13,3,2
8,18,2,1
9,25,3,3
10,26,0,0
11,39,3,1
12,47,0,3
13,48,0,4
14,54,2,4
15,55,0,2
16,55,4,4
17,56,2,1
18,56,3,1
19,60,3,3
20,61,3,2
21,62,1,2
22,70,1,3
23,73,2,3
24,76,3,1
25,79,1,3
26,81,1,2
27,84,4,4
28,87,0,1
29,87,4,3
30,89,2,4
31,93,4,4
32,99,0,0
33,106,2,1
34,107,1,2
35,110,2,4
36,115,1,2
37,117,0,4
38,117,1,3
39,131,1,0
40,135,2,4
41,147,0,4
42,150,2,4
43,153,4,4
44,160,3,4
45,165,3,3
46,167,1,4
47,176,2,3
48,178,4,4
49,179,4,4
50,182,4,4
51,193,3,3
