,step,vertical_idx,horizontal_idx
0,7,1,2
1,8,3,4
2,10,4,4
3,25,3,3
4,26,2,2
5,26,4,4
6,30,2,4
7,30,3,3
8,34,1,4
9,36,4,4
10,41,3,4
11,46,3,4
12,47,0,3
13,47,1,2
14,55,1,4
15,65,3,4
16,66,2,3
17,73,1,4
18,80,4,3
19,87,0,4
20,95,4,0
21,97,0,4
22,97,3,2
23,108,3,1
24,111,4,4
25,114,4,4
26,119,0,0
27,122,1,1
28,124,0,3
29,130,3,1
30,137,0,1
31,138,0,3
32,138,0,4
33,142,1,4
34,143,1,3
35,145,1,2
36,150,1,4
37,152,3,4
38,164,3,2
39,165,0,4
40,176,4,3
41,182,3,2
42,184,4,1
43,188,2,1
44,191,2,3
45,193,4,3
