,step,vertical_idx,horizontal_idx
0,2,2,2
1,4,4,2
2,9,0,3
3,9,2,3
4,11,0,0
5,18,1,3
6,21,0,4
7,39,4,4
8,40,3,1
9,43,4,4
10,50,0,2
11,61,0,1
12,61,2,2
13,64,1,1
14,74,0,2
15,79,2,2
16,82,4,3
17,85,2,4
18,86,4,1
19,94,2,4
20,100,3,2
21,102,2,1
22,105,4,1
23,107,0,3
24,117,3,4
25,122,0,3
26,122,2,4
27,123,4,3
28,125,1,2
29,128,1,3
30,130,1,4
31,130,2,1
32,138,1,1
33,138,1,2
34,139,3,4
35,143,3,4
36,151,0,4
37,155,0,3
38,158,3,2
39,158,4,4
40,160,1,2
41,160,2,1
42,164,0,4
43,164,2,3
44,169,1,3
45,170,2,3
46,174,0,2
47,181,2,4
48,182,2,2
49,185,2,2
50,186,0,2
51,196,2,4
52,199,4,0
