,step,vertical_idx,horizontal_idx
0,14,0,4
1,24,2,3
2,27,4,4
3,42,4,0
4,50,2,1
5,52,4,4
6,53,1,2
7,60,0,2
8,62,1,1
9,62,2,2
10,63,4,3
11,69,4,3
12,70,2,4
13,71,4,4
14,74,0,0
15,77,3,3
16,83,1,4
17,88,0,2
18,92,0,4
19,94,1,2
20,98,3,4
21,98,4,3
22,99,1,3
23,100,2,3
24,101,2,3
25,102,3,4
26,104,2,1
27,108,0,0
28,108,4,1
29,114,1,3
30,114,4,2
31,116,3,0
32,121,3,3
33,127,1,3
34,130,2,4
35,135,2,4
36,138,3,2
37,141,4,4
38,160,4,0
39,171,4,2
40,173,3,0
41,174,2,4
42,179,3,2
43,182,4,4
44,183,2,4
45,184,3,2
46,195,0,3
47,195,1,3
48,197,3,2
49,199,0,4
50,199,1,4
