,step,vertical_idx,horizontal_idx
0,1,3,1
1,7,1,3
2,7,3,2
3,7,3,3
4,17,3,3
5,19,0,4
6,23,1,0
7,30,4,0
8,36,0,4
9,40,2,2
10,47,1,2
11,49,1,1
12,54,0,3
13,59,0,3
14,60,2,4
15,60,4,3
16,62,3,3
17,63,0,4
18,65,1,3
19,66,2,4
20,73,2,2
21,73,3,4
22,78,1,2
23,85,0,3
24,91,4,4
25,95,3,2
26,98,1,4
27,98,3,3
28,101,4,1
29,103,0,4
30,110,2,4
31,112,4,1
32,112,4,4
33,127,1,4
34,127,2,2
35,130,3,4
36,140,0,1
37,144,1,1
38,147,2,4
39,153,2,3
40,157,3,3
41,166,4,1
42,166,4,2
43,168,4,3
44,168,4,4
45,170,1,4
46,171,0,4
47,172,3,4
48,173,3,4
49,180,3,2
50,184,2,2
51,189,1,2
52,191,1,4
53,192,1,3
54,193,1,2
