,step,vertical_idx,horizontal_idx
0,2,0,4
1,5,0,4
2,6,1,1
3,6,4,3
4,7,4,2
5,17,3,4
6,23,4,2
7,26,0,3
8,27,2,1
9,30,2,4
10,39,4,3
11,40,4,3
12,42,4,4
13,49,1,2
14,52,4,1
15,58,4,3
16,61,2,4
17,66,4,3
18,79,4,1
19,85,3,3
20,88,0,3
21,94,1,1
22,95,4,4
23,97,2,4
24,99,0,4
25,104,4,1
26,106,4,4
27,108,4,2
28,112,1,0
29,116,2,4
30,117,1,1
31,124,3,1
32,128,1,4
33,131,3,4
34,142,3,3
35,146,4,0
36,151,2,3
37,157,0,4
38,159,0,4
39,164,3,2
40,165,2,3
41,169,4,4
42,175,4,0
43,178,4,4
44,181,4,4
45,187,1,2
46,187,3,4
47,189,1,2
48,191,2,4
49,192,1,4
50,197,0,3
51,200,1,1
