,step,vertical_idx,horizontal_idx
0,2,1,3
1,6,0,1
2,11,4,3
3,12,3,3
4,16,3,4
5,17,0,4
6,21,4,3
7,23,1,3
8,23,2,3
9,26,4,4
10,28,4,0
11,38,2,3
12,38,4,0
13,45,1,4
14,46,3,4
15,47,3,3
16,49,4,4
17,52,1,3
18,52,2,2
19,56,4,0
20,61,2,4
21,66,3,3
22,70,2,4
23,79,0,1
24,86,0,4
25,88,2,3
26,91,1,4
27,94,2,3
28,98,4,4
29,122,1,4
30,126,0,3
31,127,2,2
32,128,3,2
33,129,0,3
34,131,0,3
35,145,4,4
36,147,2,1
37,152,3,2
38,156,3,4
39,157,2,2
40,158,1,2
41,163,2,3
42,163,4,1
43,171,1,1
44,178,3,3
45,181,1,2
46,181,3,2
47,184,1,2
48,186,3,4
49,187,1,2
50,187,3,4
51,189,1,1
52,190,1,4
53,193,2,3
54,195,2,4
55,195,3,2
56,199,1,1
