,step,vertical_idx,horizontal_idx
0,23,4,2
1,28,0,2
2,29,0,4
3,43,2,4
4,44,2,3
5,45,1,3
6,45,2,4
7,47,1,3
8,56,3,1
9,60,1,4
10,61,4,1
11,62,1,1
12,64,2,4
13,65,0,3
14,65,4,2
15,68,2,2
16,68,3,4
17,73,2,3
18,76,3,3
19,77,2,2
20,80,0,4
21,81,0,4
22,84,1,2
23,86,3,4
24,92,0,3
25,104,3,0
26,114,2,4
27,127,3,4
28,132,1,1
29,132,1,3
30,139,0,3
31,144,2,1
32,146,0,4
33,148,4,2
34,150,4,3
35,153,2,4
36,158,1,4
37,168,0,4
38,169,1,2
39,176,0,2
40,178,4,3
41,185,4,4
42,187,4,2
43,187,4,4
44,189,1,2
45,191,1,3
46,192,0,3
47,194,3,4
48,197,1,3
49,198,4,1
