,step,vertical_idx,horizontal_idx
0,1,4,4
1,10,1,4
2,10,2,2
3,11,4,3
4,19,3,1
5,20,3,2
6,26,0,3
7,28,2,4
8,29,3,2
9,30,4,1
10,30,4,4
11,42,2,3
12,48,2,4
13,51,1,2
14,54,4,2
15,66,0,2
16,66,3,4
17,81,0,4
18,81,3,2
19,89,1,4
20,96,0,0
21,97,0,2
22,99,1,1
23,103,3,4
24,110,3,4
25,113,4,1
26,116,1,2
27,118,2,2
28,124,3,0
29,125,0,3
30,125,1,2
31,132,2,1
32,135,0,3
33,136,3,3
34,138,4,1
35,144,4,3
36,148,4,4
37,153,2,4
38,160,4,2
39,164,2,3
40,170,3,4
41,187,3,4
42,190,3,0
43,191,1,4
44,196,1,3
45,197,3,2
46,197,4,3
47,199,2,2
